date,reservoir_id,level_m,median_m,hist_high_m,hist_high_year,hist_low_m,hist_low_year
1990-10-08,rapide_7,309.19,309.07,309.35,1999,308.08,2005
1990-10-08,timiskaming,179.46,178.87,179.46,1990,178.54,1989
1990-10-09,bark_lake,313.32,313.66,313.9,1954,309.27,1953
1990-10-09,baskatong,221.37,220.21,223.0,1988,216.6,1982
1990-10-09,cabonga,359.05,359.82,361.04,1951,357.58,1998
1990-10-09,des_joachims,151.75,152.16,152.4,1965,151.21,1952
1990-10-09,dozois,345.23,343.09,346.1,1965,341.15,2005
1990-10-09,kiamika,268.64,267.49,269.93,1965,266.22,1995
1990-10-09,kipawa,269.51,269.33,269.87,1965,269.02,1962
1990-10-09,lady_evelyn,289.03,289.05,289.62,1951,287.52,1971
1990-10-09,mitchinamecus,380.54,378.6,382.83,1957,374.91,1975
1990-10-09,poisson_blanc,198.49,199.27,201.71,1965,194.88,1978
1990-10-09,quinze,263.24,262.98,263.43,1974,261.08,1962
1990-10-09,rapide_7,309.2,309.07,309.38,1999,308.08,2005
1990-10-09,timiskaming,179.47,178.86,179.47,1990,178.53,1989
1990-10-10,bark_lake,313.33,313.66,313.91,1954,309.21,1953
1990-10-10,baskatong,221.39,220.18,222.97,1988,216.6,1982
1990-10-10,cabonga,359.05,359.83,361.04,1951,357.56,1998
1990-10-10,des_joachims,151.61,152.16,152.4,1965,151.15,1952
1990-10-10,dozois,345.27,343.09,346.1,1965,341.14,2005
1990-10-10,kiamika,268.65,267.48,269.94,1965,266.19,1995
1990-10-10,kipawa,269.5,269.33,269.89,1965,268.99,2015
1990-10-10,lady_evelyn,289.07,289.05,289.59,1951,287.55,1971
1990-10-10,mitchinamecus,380.56,378.62,382.86,1958,375.41,1975
1990-10-10,poisson_blanc,198.52,199.26,201.68,1965,194.91,1978
1990-10-10,quinze,263.24,262.99,263.44,1974,261.03,1962
1990-10-10,rapide_7,309.27,309.06,309.37,1999,308.05,2005
1990-10-10,timiskaming,179.47,178.85,179.47,1990,178.5,1989
1990-10-11,bark_lake,313.35,313.65,313.9,1954,309.19,1953
1990-10-11,baskatong,221.4,220.16,222.92,1988,216.59,1982
1990-10-11,cabonga,359.09,359.83,361.04,1951,357.54,1998
1990-10-11,des_joachims,151.62,152.16,152.4,1965,151.21,1952
1990-10-11,dozois,345.3,343.09,346.09,1965,341.15,2005
1990-10-11,kiamika,268.67,267.47,269.95,1958,266.16,1995
1990-10-11,kipawa,269.52,269.32,269.92,1965,268.99,1962
1990-10-11,lady_evelyn,289.07,289.05,289.59,1951,287.55,1971
1990-10-11,mitchinamecus,380.57,378.63,382.89,1958,376.45,1982
1990-10-11,poisson_blanc,198.55,199.28,201.66,1965,194.93,1978
1990-10-11,quinze,263.2,262.99,263.42,1974,261.03,1962
1990-10-11,rapide_7,309.25,309.05,309.39,1999,308.03,2005
1990-10-11,timiskaming,179.47,178.85,179.47,1990,178.5,1989
1990-10-12,bark_lake,313.35,313.64,313.9,1954,309.14,1953
1990-10-12,baskatong,221.42,220.12,222.91,1988,216.59,1982
1990-10-12,cabonga,359.09,359.83,361.03,1951,357.51,1998
1990-10-12,des_joachims,151.68,152.16,152.4,1965,151.21,1955
1990-10-12,dozois,345.29,343.08,346.08,1965,341.15,2005
1990-10-12,kiamika,268.68,267.46,269.96,1958,266.13,1995
1990-10-12,kipawa,269.51,269.32,269.93,1965,268.98,2015
1990-10-12,lady_evelyn,289.06,289.06,289.56,1951,287.55,1971
1990-10-12,mitchinamecus,380.59,378.64,382.95,1958,376.45,1982
1990-10-12,poisson_blanc,198.61,199.27,201.64,1965,194.96,1978
1990-10-12,quinze,263.21,262.98,263.43,1978,261.02,1962
1990-10-12,rapide_7,309.25,309.05,309.41,1999,308.03,2005
1990-10-12,timiskaming,179.49,178.85,179.49,1990,178.51,1989
1990-10-13,bark_lake,313.35,313.63,313.91,1954,309.08,1953
1990-10-13,baskatong,221.46,220.09,222.88,1988,216.58,1982
1990-10-13,cabonga,359.1,359.83,361.02,1951,357.51,1998
1990-10-13,des_joachims,151.81,152.17,152.4,1965,151.42,1955
1990-10-13,dozois,345.29,343.08,346.06,1965,341.15,2005
1990-10-13,kiamika,268.71,267.44,270.01,1958,266.1,1995
1990-10-13,kipawa,269.5,269.32,269.93,1965,268.99,1962
1990-10-13,lady_evelyn,289.07,289.05,289.56,1951,287.55,1971
1990-10-13,mitchinamecus,380.6,378.63,382.98,1958,376.45,1982
1990-10-13,poisson_blanc,198.68,199.25,201.63,1965,195.01,1978
1990-10-13,quinze,263.2,262.98,263.46,1978,260.99,1962
1990-10-13,rapide_7,309.25,309.04,309.35,1999,308.04,2005
1990-10-13,timiskaming,179.5,178.86,179.5,1990,178.54,1989
1990-10-14,bark_lake,313.35,313.62,313.94,1965,309.04,1953
